Type.,No.,種別,送信元,宛先,Protocol,送信元ポート,宛先ポート
Static,2000,reject,*,*,,,
Static,201000,reject,10.0.0.0/8,*,*,*,*
Static,201001,reject,172.16.0.0/12,*,*,*,*
Static,201002,reject,192.168.0.0/16,*,*,*,*
Static,201003,reject,192.168.100.0/24,*,*,*,*
Static,201010,reject,*,10.0.0.0/8,*,*,*
Static,201011,reject,*,172.16.0.0/12,*,*,*
Static,201012,reject,*,192.168.0.0/16,*,*,*
Static,201013,reject,*,192.168.100.0/24,*,*,*
Static,201020,reject,*,*,"udp,tcp",135,*
Static,201021,reject,*,*,"udp,tcp",*,135
Static,201022,reject,*,*,"udp,tcp",netbios_ns-netbios_ssn,*
Static,201023,reject,*,*,"udp,tcp",*,netbios_ns-netbios_ssn
Static,201024,reject,*,*,"udp,tcp",445,*
Static,201025,reject,*,*,"udp,tcp",*,445
Static,201026,restrict,*,*,tcpfin,*,"www,21,nntp"
Static,201027,restrict,*,*,tcprst,*,"www,21,nntp"
Static,201030,pass,*,192.168.100.0/24,icmp,*,*
Static,201031,pass,*,192.168.100.0/24,established,*,*
Static,201032,pass,*,192.168.100.0/24,tcp,*,ident
Static,201033,pass,*,192.168.100.0/24,tcp,ftpdate,*
Static,201034,pass,*,192.168.100.0/24,"tcp,udp",*,domain
Static,201035,pass,*,192.168.100.0/24,udp,domain,*
Static,201036,pass,*,192.168.100.0/24,udp,*,ntp
Static,201037,pass,*,192.168.100.0/24,udp,ntp,*
Static,201099,pass,*,*,*,*,*
Static,201100,pass,*,192.168.100.1,udp,*,500
Static,201101,pass,*,192.168.100.1,esp,*,
Static,201102,pass,*,192.168.100.1,udp,*,4500
Static,201103,pass,*,192.168.100.1,udp,*,1701
Static,201104,pass,*,192.168.100.1,udp,*,1701
Static,400000,reject,10.0.0.0/8,*,*,*,*
Static,400001,reject,172.16.0.0/16,*,*,*,*
Static,400002,reject,192.168.0.0/16,*,*,*,*
Static,400003,reject,192.168.100.0/24,*,*,*,*
Static,400010,reject,*,10.0.0.0/8,*,*,*
Static,400011,reject,*,172.16.0.0/12,*,*,*
Static,400012,reject,*,192.168.0.0/16,*,*,*
Static,400013,reject,*,192.168.100.0/24,*,*,*
Static,400020,reject,*,*,"udp,tcp",135,*
Static,400021,reject,*,*,"udp,tcp",*,135
Static,400022,reject,*,*,"udp,tcp",netbios_ns-netbios_ssn,*
Static,400023,reject,*,*,"udp,tcp",*,netbios_ns-netbios_ssn
Static,400024,reject,*,*,"udp,tcp",445,*
Static,400025,reject,*,*,"udp,tcp",*,445
Static,400026,restrict,*,*,tcpfin,*,"www,21,nntp"
Static,400027,restrict,*,*,tcprst,*,"www,21,nntp"
Static,400030,pass,*,192.168.100.0/24,icmp,*,*
Static,400031,pass,*,192.168.100.0/24,established,*,*
Static,400032,pass,*,192.168.100.0/24,tcp,*,ident
Static,400033,pass,*,192.168.100.0/24,tcp,ftpdate,*
Static,400034,pass,*,192.168.100.0/24,"tcp,udp",*,domain
Static,400035,pass,*,192.168.100.0/24,udp,domain,*
Static,400036,pass,*,192.168.100.0/24,udp,*,ntp
Static,400037,pass,*,192.168.100.0/24,udp,ntp,*
Static,400099,pass,*,*,*,*,*
Static,400101,pass,*,192.168.100.102,tcp,*,8081-8086
Static,400102,pass,*,192.168.100.102,tcp,*,8772
Static,400103,pass,*,192.168.100.102,tcp,*,9601-9606
Static,400104,pass,*,192.168.100.240,tcp,*,25565
Static,400105,pass,*,192.168.100.203,tcp,*,31000
Static,400106,pass,*,192.168.100.204,tcp,*,31001
Static,400107,pass,*,192.168.100.117,tcp,*,10022
Static,400108,pass,*,192.168.100.235,udp,*,7777-7778
Static,400109,pass,*,192.168.100.235,tcp,*,27016
Static,400110,pass,*,192.168.100.250,udp,*,28015
Static,400111,pass,*,192.168.100.200,tcp,*,10050
Static,400112,pass,*,192.168.100.102,udp,*,9601-9606
Static,400113,pass,*,192.168.100.1,udp,*,500
Static,400114,pass,*,192.168.100.1,udp,*,4500
Static,400115,pass,*,192.168.100.1,udp,*,1701
Static,400116,pass,*,192.168.100.1,esp,,
Static,400117,pass,*,192.168.100.235,udp,*,27015
Static,400118,pass,"49.212.135.88,49.212.166.37",192.168.100.244,tcp,*,40010
Static,400119,reject-nolog,49.212.166.37,192.168.100.240,*,*,*
Static,400120,pass,*,192.168.100.117,tcp,*,ftpdata
Static,400121,reject-nolog,*,*,*,135,*
Static,400122,pass,*,192.168.100.117,tcp,*,ftpdata
Static,400123,reject,5.42.199.51,*,*,*,*
Static,400124,pass,*,192.168.100.117,tcp,*,21
Static,400125,pass,*,192.168.100.117,*,*,"www,https"
Static,400126,pass,*,192.168.100.117,*,*,"ftpdata,21"
Static,400127,pass,*,192.168.100.117,tcp,*,60000-61000
Static,400128,pass,*,192.168.100.114,tcp,*,20022
Static,400129,pass,*,192.168.100.103,tcp,*,20023
Static,400130,pass,*,192.168.100.102,tcp,*,20024
Static,400131,pass,*,192.168.100.96,tcp,*,63333
Static,400132,pass,*,192.168.100.10,tcp,*,5201
Static,400133,pass,*,192.168.100.96,tcp,*,8899
Static,500000,restrict,*,*,*,*,*
Static,500001,pass,*,*,*,*,*
Static,500002,pass,192.168.1.0/24,*,*,*,*
Dynamic,201080,*,*,ftp,,,
Dynamic,201081,*,*,domain,,,
Dynamic,201082,*,*,www,,,
Dynamic,201083,*,*,smtp,,,
Dynamic,201084,*,*,pop3,,,
Dynamic,201085,*,*,submission,,,
Dynamic,201098,*,*,tcp,,,
Dynamic,201099,*,*,udp,,,
Dynamic,400080,*,*,ftp,,,
Dynamic,400081,*,*,domain,,,
Dynamic,400082,*,*,www,,,
Dynamic,400083,*,*,smtp,,,
Dynamic,400084,*,*,pop3,,,
Dynamic,400085,*,*,submission,,,
Dynamic,400098,*,*,tcp,,,
Dynamic,400099,*,*,udp,,,
